Vocabulary,English,Thai,Example,Phonetic,Synonyms,Antonyms
commuting,[N/V] going to work and back every day,,I spend two hours commuting to work every day.,,commutation,
rear,[N/Adj] the back part / [V] to raise children or animals,,Please exit through the rear door.,reer,prance,
ventilation,[N] system that moves fresh air in and out,,The office needs better ventilation.,,"airing, ventilating system, ventilation system",
irrigation,[N] system for bringing water to farms,,The farm uses a modern irrigation system.,ihruh-gayshuhn,,
lawn,[N] flat area of short grass in a yard,,He mows the lawn every weekend.,lawn,,
courteously,[Adv] in a polite and respectful way,,The staff courteously greeted every guest.,,"politely, in a well mannered way, with courtesy, with politeness","rudely, discourteously, impolitely"
proceeds,[N] money you get from selling something or from an event,,All proceeds from the event go to charity.,pruhuusidz,"yield, issue, return, take, payoff",
hold,[V] to keep something / to have an event,,We will hold a meeting next Monday.,huhuuld,"sustain, support, control, clutch, retain","release, let go, let go of"
steep,[Adj] going up very sharply / (price) very high,,The price increase was too steep.,stip,"sharp, heavy, exorbitant, high, bold",gradual
dedication,[N] working very hard on something because you care,,Her dedication to the project impressed everyone.,dehdih-kayshuhn,"commitment, allegiance, loyalty",
competent,[Adj] good at doing a job,,We need a competent manager for this role.,kahmpuhtuhnt,"adequate, efficient, effective, capable, qualified",incompetent
indecisive,[Adj] can't make up your mind,,He's too indecisive to lead the team.,ihndih-seyesihv,"irresolute, hesitant, indefinite, suspensive, undecided",decisive
undergo,[V] to go through something (usually difficult),,The building will undergo major renovations.,uhnduh-guhuu,"go through, take, undercome, brook, put up with",
teller,[N] person who works at a bank counter,,The bank teller helped me open an account.,tehluh,"cashier, bank clerk, vote counter",
respective,[Adj] each one's own,,Please return to your respective departments.,rih-spehktihv,"various, several",
fortune,[N] a lot of money / good luck,,He made a fortune in real estate.,fawchun,"riches, hap, luck","doom, misfortune"
roughly,"[Adv] about, not exactly",,The project will take roughly three months.,ruhf-li,"rough, about, some, just about, around",
leaky,[Adj] has a hole that lets water through,,We need to fix the leaky roof.,liki,"seeping, incontinent, oozing, communicative, permeable",tight
faucet,[N] the thing you turn to get water (tap),,The faucet in the kitchen is broken.,fawsiht,,
reimbursement,[N] getting your money back after you paid for something,,Submit your receipts for reimbursement.,ri-ihm-bɜs-muhnt,,
incur,[V] to cause something bad to happen to yourself (like a cost),,Late payments will incur additional fees.,ihn-kuh,"contract, encounter, occasion",
reinforce,[V] to make something stronger,,We need to reinforce the safety policy.,riihn-faw(r)s,"emphasize, repeat, review, encourage, instruct",
comply,[V] to do what the rules say,,All employees must comply with the new rules.,kuhm-pleye,"accede, acquiesce, assent, adhere, abide by","break, dissent, violate"
